date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-Feb-22,DNH and DD,four wheelers,1,354
01-Feb-22,Meghalaya,four wheelers,1,917
01-Mar-22,DNH and DD,four wheelers,1,355
01-Apr-22,Andaman & Nicobar Island,four wheelers,1,147
01-Apr-22,DNH and DD,four wheelers,1,431
01-Apr-22,Manipur,two wheelers,1,1246
01-Apr-22,Manipur,four wheelers,1,813
01-Apr-22,Meghalaya,four wheelers,1,860
01-May-22,DNH and DD,four wheelers,1,374
01-May-22,Mizoram,two wheelers,1,1638
01-May-22,Nagaland,two wheelers,1,514
01-Jun-22,DNH and DD,two wheelers,1,767
01-Jun-22,Meghalaya,four wheelers,1,1087
01-Jul-22,Arunachal Pradesh,four wheelers,1,947
01-Jul-22,Ladakh,four wheelers,1,285
01-Jul-22,Mizoram,two wheelers,1,1427
01-Aug-22,DNH and DD,four wheelers,1,303
01-Sep-22,DNH and DD,four wheelers,1,390
01-Sep-22,Manipur,two wheelers,1,2473
01-Sep-22,Meghalaya,two wheelers,1,1719
01-Oct-22,Meghalaya,four wheelers,1,1188
01-Nov-22,Andaman & Nicobar Island,four wheelers,1,159
01-Dec-22,Arunachal Pradesh,two wheelers,1,925
01-Dec-22,Meghalaya,two wheelers,1,1180
01-Dec-22,Punjab,four wheelers,1,13085
01-Jan-23,DNH and DD,four wheelers,1,360
01-Jan-23,Ladakh,two wheelers,1,20
01-Jan-23,Meghalaya,four wheelers,1,1271
01-Mar-23,Andaman & Nicobar Island,two wheelers,1,373
01-Mar-23,Andaman & Nicobar Island,four wheelers,1,162
01-Mar-23,Meghalaya,two wheelers,1,1907
01-Apr-23,Andaman & Nicobar Island,four wheelers,1,122
01-Apr-23,Arunachal Pradesh,four wheelers,1,892
01-Apr-23,DNH and DD,four wheelers,1,407
01-Apr-23,Nagaland,four wheelers,1,687
01-Apr-23,Tripura,four wheelers,1,299
01-May-23,Arunachal Pradesh,two wheelers,1,1193
01-Jun-23,Andaman & Nicobar Island,four wheelers,1,136
01-Jun-23,DNH and DD,four wheelers,1,370
